Country name,value,year
China,"1,397,897,720",2021
India,"1,339,330,514",2021
United States,"334,998,398",2021
Indonesia,"275,122,131",2021
Pakistan,"238,181,034",2021
Nigeria,"219,463,862",2021
Brazil,"213,445,417",2021
Bangladesh,"164,098,818",2021
Russia,"142,320,790",2021
Mexico,"130,207,371",2021
Japan,"124,687,293",2021
Ethiopia,"110,871,031",2021
Philippines,"110,818,325",2021
Egypt,"106,437,241",2021
"Congo, Democratic Republic of the","105,044,646",2021
Vietnam,"102,789,598",2021
Iran,"85,888,910",2021
Turkey,"82,482,383",2021
Germany,"79,903,481",2021
Thailand,"69,480,520",2021
France,"68,084,217",2021
United Kingdom,"67,081,000",2020
Italy,"62,390,364",2021
Tanzania,"62,092,761",2021
Burma,"57,069,099",2021
South Africa,"56,978,635",2021
Kenya,"54,685,051",2021
"Korea, South","51,715,162",2021
Colombia,"50,355,650",2021
Spain,"47,260,584",2021
Sudan,"46,751,152",2021
Argentina,"45,864,941",2021
Uganda,"44,712,143",2021
Ukraine,"43,745,640",2021
Algeria,"43,576,691",2021
Iraq,"39,650,145",2021
Poland,"38,185,913",2021
Canada,"37,943,231",2021
Afghanistan,"37,466,414",2021
Morocco,"36,561,813",2021
Saudi Arabia,"34,783,757",2021
Angola,"33,642,646",2021
Malaysia,"33,519,406",2021
Ghana,"32,372,889",2021
Peru,"32,201,224",2021
Mozambique,"30,888,034",2021
Uzbekistan,"30,842,796",2021
Nepal,"30,424,878",2021
Yemen,"30,399,243",2021
Venezuela,"29,069,153",2021
Cameroon,"28,524,175",2021
Cote d'Ivoire,"28,088,455",2021
Madagascar,"27,534,354",2021
"Korea, North","25,831,360",2021
Australia,"25,809,973",2021
Niger,"23,605,767",2021
Taiwan,"23,572,052",2021
Sri Lanka,"23,044,123",2021
Burkina Faso,"21,382,659",2021
Romania,"21,230,362",2021
Syria,"20,384,316",2021
Malawi,"20,308,502",2021
Mali,"20,137,527",2021
Kazakhstan,"19,245,793",2021
Zambia,"19,077,816",2021
Chile,"18,307,925",2021
Guatemala,"17,422,821",2021
Chad,"17,414,108",2021
Netherlands,"17,337,403",2021
Cambodia,"17,304,363",2021
Ecuador,"17,093,159",2021
Senegal,"16,082,442",2021
Zimbabwe,"14,829,988",2021
Benin,"13,301,694",2021
Rwanda,"12,943,132",2021
Guinea,"12,877,894",2021
Burundi,"12,241,065",2021
Somalia,"12,094,640",2021
Tunisia,"11,811,335",2021
Belgium,"11,778,842",2021
Bolivia,"11,758,869",2021
Haiti,"11,198,240",2021
Cuba,"11,032,343",2021
South Sudan,"10,984,074",2021
Jordan,"10,909,567",2021
Czechia,"10,702,596",2021
Dominican Republic,"10,597,348",2021
Greece,"10,569,703",2021
Azerbaijan,"10,282,283",2021
Portugal,"10,263,850",2021
Sweden,"10,261,767",2021
United Arab Emirates,"9,856,612",2021
Hungary,"9,728,337",2021
Belarus,"9,441,842",2021
Honduras,"9,346,277",2021
Tajikistan,"8,990,874",2021
Austria,"8,884,864",2021
Israel,"8,787,045",2021
Switzerland,"8,453,550",2021
Togo,"8,283,189",2021
Laos,"7,574,356",2021
Papua New Guinea,"7,399,757",2021
Paraguay,"7,272,639",2021
Hong Kong,"7,263,234",2021
Libya,"7,017,224",2021
Serbia,"6,974,289",2021
Bulgaria,"6,919,180",2021
Sierra Leone,"6,807,277",2021
El Salvador,"6,528,135",2021
Nicaragua,"6,243,931",2021
Eritrea,"6,147,398",2021
Kyrgyzstan,"6,018,789",2021
Denmark,"5,894,687",2021
Singapore,"5,866,139",2021
Finland,"5,587,442",2021
Turkmenistan,"5,579,889",2021
Norway,"5,509,591",2021
Slovakia,"5,436,066",2021
"Congo, Republic of the","5,417,414",2021
Central African Republic,"5,357,984",2021
Lebanon,"5,261,372",2021
Ireland,"5,224,884",2021
Liberia,"5,214,030",2021
Costa Rica,"5,151,140",2021
New Zealand,"4,991,442",2021
Georgia,"4,933,674",2021
Croatia,"4,208,973",2021
Mauritania,"4,079,284",2021
Panama,"3,928,646",2021
Bosnia and Herzegovina,"3,824,782",2021
Oman,"3,694,755",2021
Uruguay,"3,398,239",2021
Moldova,"3,323,875",2021
Mongolia,"3,198,913",2021
Puerto Rico,"3,142,779",2021
Albania,"3,088,385",2021
Kuwait,"3,032,065",2021
Armenia,"3,011,609",2021
West Bank,"2,949,246",2021
Jamaica,"2,816,602",2021
Lithuania,"2,711,566",2021
Namibia,"2,678,191",2021
Qatar,"2,479,995",2021
Botswana,"2,350,667",2021
Gabon,"2,284,912",2021
"Gambia, The","2,221,301",2021
Lesotho,"2,177,740",2021
Slovenia,"2,102,106",2021
Guinea-Bissau,"1,976,187",2021
Gaza Strip,"1,957,062",2021
Kosovo,"1,935,259",2021
Latvia,"1,862,687",2021
Bahrain,"1,526,929",2021
Timor-Leste,"1,413,958",2021
Mauritius,"1,386,129",2021
Cyprus,"1,281,506",2021
Trinidad and Tobago,"1,221,047",2021
Estonia,"1,220,042",2021
Eswatini,"1,113,276",2021
Fiji,"939,535",2021
Djibouti,"938,413",2021
Comoros,"864,335",2021
Bhutan,"857,423",2021
Equatorial Guinea,"857,008",2021
Guyana,"787,971",2021
Solomon Islands,"690,598",2021
Luxembourg,"639,589",2021
Macau,"630,396",2021
Suriname,"614,749",2021
